,index,username,tweetcreatedts,text,text_length,BERT_processed_text,BERT_processed_text_length,sentiments
46,371,HadiJafry,2020-07-08 09:31:33,did victor lye just say aljunied grc shouldn ' t be a political hostage ? not sure if anybody really sees the wp as a hostage taker when the pap has kept control of all pa facilities and locked out the wp mps from things like edusave awards .,49,[CLS] did victor lye just say aljunied grc shouldn ' t be a political hostage ? not sure if anybody really sees the wp as a hostage taker when the pap has kept control of all pa facilities and locked out the wp mps from things like edusave awards .,59,negative
47,1287,bryancsk,2020-07-07 08:11:57,"the parties contesting my constituency are the pap and psp in , and on face value that ' s a better choice than in 2015 , i still simply can ' t bring myself to vote for a party that has shown itself to be quite as nativist and mercenary as the psp .",54,"[CLS] the parties contesting my constituency are the pap and psp in , and on face value that ' s a better choice than in 2015 , i still simply can ' t bring myself to vote for a party that has shown itself to be quite as nativist and mercenary as the psp .",59,negative
48,1094,syaosakucouple,2020-07-07 12:35:52,"sengkang grc people , remember that ng chee meng went from retiring as cdf to pap candidate in 4 days , and took only another 3 months or so to become a minister . i think our mps and ministers should had spent more time on the ground before assuming offices .",52,"[CLS] sengkang grc people , remember that ng chee meng went from retiring as cdf to pap candidate in 4 days , and took only another 3 months or so to become a minister . i think our mps and ministers should had spent more time on the ground before assuming offices .",59,negative
49,924,sgpoliticswoke,2020-07-07 15:23:44,"in case you ' ve been missing our updates , my colleagues and i are on the ground everyday , following the around . i got the chance to meet up with the pap ' s candidates for sengkang grc today - check it out on cna ' s liveblog :",51,"[CLS] in case you ' ve been missing our updates , my colleagues and i are on the ground everyday , following the around . i got the chance to meet up with the pap ' s candidates for sengkang grc today - check it out on cna ' s liveblog :",59,neutral
50,62,_sincerelyshine,2020-07-08 16:01:26,"amidst the great crisis of our time , have been a stellar opportunity to broaden s ' pore ' s horizons , to reassess governance , accountability , labour gaps , housing and welfare concerns , media and artistic restrictions , systemic inequality and poverty , and so on . but the pap :",54,"[CLS] amidst the great crisis of our time , have been a stellar opportunity to broaden s ' pore ' s horizons , to reassess governance , accountability , labour gaps , housing and welfare concerns , media and artistic restrictions , systemic inequality and poverty , and so on . but the pap :",59,positive
51,77,Kw1q51lv3r,2020-07-08 15:40:52,"honestly , the only time the pap has done anything even close to justifying an unpopular or morally bereft policy decision , they ' ve done so using the junk stats of the singaporean vox populi to reinforce their own laziness and regressiveness . vote them out .",48,"[CLS] honestly , the only time the pap has done anything even close to justifying an unpopular or morally bereft policy decision , they ' ve done so using the junk stats of the singaporean vox populi to reinforce their own laziness and regressiveness . vote them out .",59,negative
52,2395,captsingh,2020-07-06 11:29:13,"ch 5 mediacorp , political broadcast : pap / marsiling - yew tee , team led by minister lawrence wong spoke well on mrt , covid , living conditions , jobs , etc . hany soh , a family lawyer also raised good points of interest and so did other members",51,"[CLS] ch 5 mediacorp , political broadcast : pap / marsiling - yew tee , team led by minister lawrence wong spoke well on mrt , covid , living conditions , jobs , etc . hany soh , a family lawyer also raised good points of interest and so did other members",59,positive
53,8,clemtan,2020-07-08 22:54:27,"what have the last few weeks achieved ? bullying pritam singh , raeesah khan and paul tambyah .... frustrated an electorate sick of having our sense of fair play insulted . glad some get it , but fear many will be duped by paps bogeyman tactics .",47,"[CLS] what have the last few weeks achieved ? bullying pritam singh , raeesah khan and paul tambyah .... frustrated an electorate sick of having our sense of fair play insulted . glad some get it , but fear many will be duped by paps bogeyman tactics .",59,negative
54,1336,polivical,2020-07-07 07:07:29,"regardless of what party we support , can we agree that it would be quite a story for the grandkids if hsk got voted out of parliament because of the pap ' s decision to field him in east coast grc this year ? quite interested in what will occur there this year .",54,"[CLS] regardless of what party we support , can we agree that it would be quite a story for the grandkids if hsk got voted out of parliament because of the pap ' s decision to field him in east coast grc this year ? quite interested in what will occur there this year .",59,neutral
55,132,danielgoh,2020-07-08 14:45:01,""" except for a few oppo candidates , no pap candidate seeking re - election saw it fit to talk abt his or her contribution to lawmaking . instead , we hear abt fitness parks and covered linkways . ( youre ) my glorified contractor ah ? - lol",49,"[CLS] "" except for a few oppo candidates , no pap candidate seeking re - election saw it fit to talk abt his or her contribution to lawmaking . instead , we hear abt fitness parks and covered linkways . ( youre ) my glorified contractor ah ? - lol",59,negative
56,1433,NerdSing,2020-07-07 04:08:27,"a reminder that ( metaphorical ) boomers don ' t care about our hot takes on social media , and that they ' re happily swallowing everything the msm tells them - likely be a complete pap win with no opposition parties in parliament . prepare your hearts for the next 5 years .",54,"[CLS] a reminder that ( metaphorical ) boomers don ' t care about our hot takes on social media , and that they ' re happily swallowing everything the msm tells them - likely be a complete pap win with no opposition parties in parliament . prepare your hearts for the next 5 years .",58,negative
57,481,illgirltweets,2020-07-08 06:42:28,in case yall think we r in the clear of the fear . there r still people who are afraid to vote oppo because they think pap will find out . pls help eradicate these falsehoods . no need to trouble pofma . they busy as it is .,49,[CLS] in case yall think we r in the clear of the fear . there r still people who are afraid to vote oppo because they think pap will find out . pls help eradicate these falsehoods . no need to trouble pofma . they busy as it is .,58,negative
58,926,rriizzaannsia,2020-07-07 15:17:24,"before wp won aljunied , the pap used to scare voters by saying their estates will become slums under opposition management . after 2011 , this was proven wrong . pap =/= singapore . is he implying that only the pap has special ties to investors and countries ?",49,"[CLS] before wp won aljunied , the pap used to scare voters by saying their estates will become slums under opposition management . after 2011 , this was proven wrong . pap =/= singapore . is he implying that only the pap has special ties to investors and countries ?",58,negative
59,297,baysteven,2020-07-08 11:17:02,"it is the last day of campaigning . i have not seen the pap candidate yet . hmm ... are we not worth it ? on the other hand , dr ang of psp has came by our house and i have seen him walking the estate . opposition parties more hardworking ?",53,"[CLS] it is the last day of campaigning . i have not seen the pap candidate yet . hmm ... are we not worth it ? on the other hand , dr ang of psp has came by our house and i have seen him walking the estate . opposition parties more hardworking ?",58,negative
60,38,alexwang128128,2020-07-08 16:55:57,": , the participants in the mandarin debate moderated by medicorp presenter / executive editor dong suhua are sdp ' s bryan lim , psp ' s leong mun wai , and pap ' s ong ye kung . here are where the candidates are contesting .",47,"[CLS] : , the participants in the mandarin debate moderated by medicorp presenter / executive editor dong suhua are sdp ' s bryan lim , psp ' s leong mun wai , and pap ' s ong ye kung . here are where the candidates are contesting .",58,neutral
61,1233,BenChiaCars,2020-07-07 09:37:25,"in its desire to retain power , the pap state aligns itself with every single vector of oppression - patriarchy , ableism , elitism , classism , islamophobia . you shouldnt expect any better of it because its an immoral institute which only sees power as valuable",47,"[CLS] in its desire to retain power , the pap state aligns itself with every single vector of oppression - patriarchy , ableism , elitism , classism , islamophobia . you shouldnt expect any better of it because its an immoral institute which only sees power as valuable",58,negative
62,500,rainysumzara,2020-07-08 06:08:00,""" tan cheng bock calls police reports against workers ' party ' s raeesah khan ' gutter politics '"" - dr tan is 80 years old , was mp for 26 years , and spent most of his political career in the pap . he calls it as he sees it .",52,"[CLS] "" tan cheng bock calls police reports against workers ' party ' s raeesah khan ' gutter politics '"" - dr tan is 80 years old , was mp for 26 years , and spent most of his political career in the pap . he calls it as he sees it .",58,negative
63,395,BritishCommonw,2020-07-08 08:24:38,"every election , rain or shine , the holds a lunchtime rally at fullerton . we are holding it online this year because of covid - 19 . join us tomorrow at 12nn . i will speak about the stakes in and how the pap can meet the challenges ahead . lhl",52,"[CLS] every election , rain or shine , the holds a lunchtime rally at fullerton . we are holding it online this year because of covid - 19 . join us tomorrow at 12nn . i will speak about the stakes in and how the pap can meet the challenges ahead . lhl",58,neutral
